Journal Report 1 (R4)	Number of Successful Full-Text Article Requests by Month and Journal																				
SIMON FRASER UNIV																					
SFU																					
Period covered by Report:																					
2013-01-01 to 2013-12-31																					
Date run:																					
2014-02-24																					
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013
Journal of Chemical Information and Modeling	American Chemical Society	ACS Publications	10.1021/jcisd8	jcisd8	1549-9596	1549-960X	97	16	81	9	19	5	18	9	7	2	6	4	7	4	7
Journal of Chemical Theory and Computation	American Chemical Society	ACS Publications	10.1021/jctcce	jctcce	1549-9618	1549-9626	92	17	75	5	6	9	21	5	4	3	5	12	9	8	5
Journal of Medicinal Chemistry	American Chemical Society	ACS Publications	10.1021/jmcmar	jmcmar	0022-2623	1520-4804	3628	64	3564	140	149	244	160	139	103	312	1589	442	129	110	111
Journal of Natural Products	American Chemical Society	ACS Publications	10.1021/jnprdf	jnprdf	0163-3864	1520-6025	354	38	316	129	24	50	23	17	12	18	8	10	34	19	10
The Journal of Organic Chemistry	American Chemical Society	ACS Publications	10.1021/joceah	joceah	0022-3263	1520-6904	10226	113	10113	1567	929	1191	1635	399	1985	407	369	470	453	485	336
The Journal of Physical Chemistry	American Chemical Society	ACS Publications	10.1021/jpchax	jpchax	0022-3654	1541-5740	514	7	507	31	38	33	62	75	41	42	37	28	39	70	18
The Journal of Physical Chemistry A	American Chemical Society	ACS Publications	10.1021/jpcafh	jpcafh	1089-5639	1520-5215	586	75	511	73	74	45	49	37	54	30	28	49	40	68	39
The Journal of Physical Chemistry B	American Chemical Society	ACS Publications	10.1021/jpcbfk	jpcbfk	1520-6106	1520-5207	1194	132	1062	86	90	105	71	80	116	105	67	80	143	154	97
The Journal of Physical Chemistry C	American Chemical Society	ACS Publications	10.1021/jpccck	jpccck	1932-7447	1932-7455	942	104	838	113	65	83	93	43	91	69	74	76	84	80	71
The Journal of Physical Chemistry Letters	American Chemical Society	ACS Publications	10.1021/jpclcd	jpclcd	1948-7185		204	12	192	32	23	14	14	16	13	11	32	7	16	19	7
Journal of Proteome Research	American Chemical Society	ACS Publications	10.1021/jprobs	jprobs	1535-3893	1535-3907	231	33	198	17	14	26	29	22	21	17	21	12	17	11	24
Langmuir	American Chemical Society	ACS Publications	10.1021/langd5	langd5	0743-7463	1520-5827	1594	183	1411	131	108	179	163	93	150	163	129	89	162	123	104
Macromolecules	American Chemical Society	ACS Publications	10.1021/mamobx	mamobx	0024-9297	1520-5835	1002	112	890	89	107	80	88	99	62	89	61	68	76	99	84
Molecular Pharmaceutics	American Chemical Society	ACS Publications	10.1021/mpohbp	mpohbp	1543-8384	1543-8392	90	4	86	6	4	15	6	13	4	16	5	8	2	7	4
Nano Letters	American Chemical Society	ACS Publications	10.1021/nalefd	nalefd	1530-6984	1530-6992	1253	138	1115	133	85	101	145	80	111	145	103	64	128	80	78
Organic Letters	American Chemical Society	ACS Publications	10.1021/orlef7	orlef7	1523-7060	1523-7052	3374	106	3268	221	332	298	321	262	306	297	260	246	306	296	229
Organic Process Research & Development	American Chemical Society	ACS Publications	10.1021/oprdfk	oprdfk	1083-6160	1520-586X	282	5	277	16	55	32	13	15	14	37	23	10	14	24	29
Organometallics	American Chemical Society	ACS Publications	10.1021/orgnd7	orgnd7	0276-7333	1520-6041	1032	143	889	92	59	35	41	79	42	37	65	62	273	226	21
The Pharmacogenomics Journal    	Nature Publishing Group	nature.com	10.1038/tpj	TPJ	1470-269X	1473-1150	88	67	21	9	21	0	4	16	6	11	2	1	7	6	5
Vital    	Nature Publishing Group	nature.com	10.1038/vital	VITAL	1741-7503	1471-7511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Academic Pediatrics	Elsevier Inc.	EBSCOhost		458420	1876-2859	1876-2867	248	0	248	14	18	28	12	19	14	19	9	17	40	54	4
Academic Questions	Springer Science & Business Media B.V.	EBSCOhost		607	0895-4852	1936-4709	380	116	264	17	25	40	32	9	28	16	2	33	52	112	14
Academicus	Academicus	EBSCOhost		1249548	2079-3715		93	0	93	10	4	13	8	0	4	6	2	5	34	6	1
Academy of Accounting and Financial Studies Journal	"Jordan Whitney Enterprises, Inc."	EBSCOhost		374125	1096-3685	1528-2635	61	0	61	3	4	11	0	0	0	4	2	5	2	25	5
