Journal Report 1 (R4)	Number of Successful Full-text Article Requests by Month and Journal																				
SIMON FRASER UNIV																					
																					
Period covered by Report:																					
2013-01-01 to 2013-12-31																					
Date run:																					
2014-02-24																					
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013
The ABNF journal	"Tucker Publications, Inc."	EBSCOhost		74991	1046-7041		467	0	467	58	58	59	44	23	30	12	1	36	58	72	16
Aboriginal History	Centre d'Etude du Sud-Est Asiatique et de l'Extreme-Orient	EBSCOhost		154111	0314-8769	1837-9389	55	0	55	3	0	7	0	0	0	4	0	0	6	29	6
The Aboriginal Nurse	Aboriginal Nurses Association (Canada)	EBSCOhost		74510	1196-0914		2	0	2	0	0	0	0	2	0	0	0	0	0	0	0
Aboriginal and Islander Health Worker Journal	Copyright Agency Limited	EBSCOhost		146154	1037-3403		131	0	131	10	20	18	12	8	4	8	7	4	25	13	2
About campus	"John Wiley & Sons, Inc."	EBSCOhost		491	1086-4822	1536-0687	336	0	336	21	29	35	26	30	17	20	17	30	30	73	8
Abraham Lincoln's House Divided Speech	Great Neck Publishing	EBSCOhost		339744			4	4	0	0	0	0	0	0	0	3	0	1	0	0	0
Abstract and applied analysis	Springer Science & Business Media B.V.	EBSCOhost		99109	1085-3375	1687-0409	9	0	9	0	0	8	0	0	0	1	0	0	0	0	0
Academe: Bulletin of the AAUP	American Association of University Professors	EBSCOhost		583	0190-2946		462	462	0	37	84	71	45	24	28	17	8	27	47	58	16
Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	Wiley-Blackwell	EBSCOhost		598	1069-6563	1553-2712	442	0	442	45	38	49	30	18	25	21	16	86	59	42	13
Academic leader	Magna Publications Inc.	EBSCOhost		602	8750-7730		20	0	20	3	4	1	0	2	0	0	2	0	1	7	0
Academic Leadership	AcademicLeadership.org	EBSCOhost		101600		1533-7812	35	19	16	8	1	0	0	0	0	6	6	1	4	4	5
Academic Pediatrics	Elsevier Inc.	EBSCOhost		458420	1876-2859	1876-2867	248	0	248	14	18	28	12	19	14	19	9	17	40	54	4
Academic Questions	Springer Science & Business Media B.V.	EBSCOhost		607	0895-4852	1936-4709	380	116	264	17	25	40	32	9	28	16	2	33	52	112	14
Academicus	Academicus	EBSCOhost		1249548	2079-3715		93	0	93	10	4	13	8	0	4	6	2	5	34	6	1
Academy of Accounting and Financial Studies Journal	"Jordan Whitney Enterprises, Inc."	EBSCOhost		374125	1096-3685	1528-2635	61	0	61	3	4	11	0	0	0	4	2	5	2	25	5
Academy of Banking Studies Journal	"Jordan Whitney Enterprises, Inc."	EBSCOhost		434583	1939-2230	1939-2249	42	0	42	12	13	6	4	0	0	1	0	0	0	1	5
Academy of Business Journal	Academy of Business Research	EBSCOhost		1383279			17	0	17	0	0	0	4	0	0	6	0	0	1	3	3
Academy of Business Research Journal	Academy of Business Research	EBSCOhost		1383280			68	0	68	0	2	2	0	0	0	7	2	11	16	28	0
