Journal Report 1 (R4)	Number of Successful Full-text Article Requests by Month and Journal																				
SIMON FRASER UNIVERSITY - 2062																					
																					
Period covered by Report:																					
2013-01-01 to 2013-12-31																					
Date run:																					
2014-01-27																					
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013
Mucosal Immunology    	Nature Publishing Group	nature.com	10.1038/mi	MI	1933-0219	1935-3456	30	17	13	2	0	11	0	6	3	0	1	0	0	7	0
Nature    	Nature Publishing Group	nature.com	10.1038/nature	NATURE	0028-0836	1476-4687	186104	181550	4554	37958	34829	38213	34764	27417	1453	1263	1425	2102	1914	3265	1501
Nature Biotechnology    	Nature Publishing Group	nature.com	10.1038/nbt	NBT	1087-0156	1546-1696	138770	138161	609	27411	27712	27447	31397	22666	262	230	303	352	333	370	287
Nature Cell Biology    	Nature Publishing Group	nature.com	10.1038/ncb	NCB	1465-7392	1476-4679	1671	1192	479	173	124	94	192	131	103	87	110	140	138	255	124
Nature Chemical Biology    	Nature Publishing Group	nature.com	10.1038/nchembio	NCHEMBIO	1552-4450	1552-4469	1236	876	360	145	121	132	148	108	75	39	84	101	70	119	94
Nature Chemistry    	Nature Publishing Group	nature.com	10.1038/nchem	NCHEM	1755-4330	1755-4349	1031	603	428	78	59	77	52	78	80	40	66	115	186	114	86
Nature Climate Change    	Nature Publishing Group	nature.com	10.1038/nclimate	NCLIMATE	1758-678X	1758-6798	1156	877	279	125	78	79	113	80	111	75	119	139	90	54	93
Nature Clinical Practice Neurology    	Nature Publishing Group	nature.com	10.1038/ncpneuro	NCPNEURO	1745-834X	1745-8358	25	17	8	1	7	4	3	3	0	5	0	0	0	2	0
Nature Clinical Practice Rheumatology    	Nature Publishing Group	nature.com	10.1038/ncprheum	NCPRHEUM	1745-8382	1745-8390	2	2	0	0	0	1	0	0	0	1	0	0	0	0	0
Nature Communications    	Nature Publishing Group	nature.com	10.1038/ncomms	NCOMMS	2041-1733		237708	237267	441	42041	44795	48638	55124	46339	125	90	101	123	104	144	84
Nature Genetics    	Nature Publishing Group	nature.com	10.1038/ng	NG	1061-4036	1546-1718	96379	95564	815	21027	17242	20021	18819	17058	350	222	299	375	328	368	270
Nature Geoscience    	Nature Publishing Group	nature.com	10.1038/ngeo	NGEO	1752-0894	1752-0908	3000	2024	976	385	238	224	223	841	221	93	187	191	94	186	117
Nature Immunology    	Nature Publishing Group	nature.com	10.1038/ni	NI	1529-2908	1529-2916	1282	979	303	153	116	229	106	63	52	47	67	137	86	129	97
Nature Materials    	Nature Publishing Group	nature.com	10.1038/nmat	NMAT	1476-1122	1476-4660	1846	1320	526	277	143	135	182	121	123	182	122	161	101	175	124
Nature Medicine    	Nature Publishing Group	nature.com	10.1038/nm	NM	1078-8956	1546-170X	3119	2515	604	523	338	255	289	238	246	106	182	230	179	297	236
Nature Methods    	Nature Publishing Group	nature.com	10.1038/nmeth	NMETH	1548-7091	1548-7105	126124	125529	595	31684	21525	25248	24607	20981	306	163	422	311	261	357	259
Nature Nanotechnology    	Nature Publishing Group	nature.com	10.1038/nnano	NNANO	1748-3387	1748-3395	1470	1080	390	145	110	74	126	143	150	113	130	110	146	126	97
Nature Nanotechnology Research Highlights Newsletter    	Nature Publishing Group	nature.com	10.1038/nnanorh	NNANORH			5	5	0	0	0	0	0	0	0	1	2	2	0	0	0
